Designator,Mid X,Mid Y,Layer,Rotation
C1,171.5000mm,-95.5000mm,Top,0
C2,176.0000mm,-120.5000mm,Top,0
C3,128.0000mm,-120.5000mm,Top,0
C4,171.5000mm,-97.2500mm,Top,0
C5,171.3500mm,-99.1500mm,Top,0
C6,164.5500mm,-97.1000mm,Top,0
C7,161.0000mm,-120.5200mm,Top,0
C8,143.0000mm,-120.5200mm,Top,0
C9,168.7500mm,-106.0000mm,Top,-90
C10,170.5000mm,-106.0000mm,Top,-90
C11,115.9645mm,-102.0000mm,Top,180
C12,142.5000mm,-104.5000mm,Top,-90
C13,136.5000mm,-104.5000mm,Top,90
C14,173.6680mm,-62.3780mm,Top,90
C15,175.5680mm,-73.0137mm,Top,-90
C16,163.3180mm,-67.9880mm,Top,90
C17,149.5000mm,-85.0000mm,Top,180
C18,128.6000mm,-94.6000mm,Top,0
C19,150.5000mm,-96.2500mm,Top,-90
C20,129.7750mm,-97.2500mm,Top,0
C21,133.0000mm,-79.7500mm,Top,0
C22,142.6250mm,-99.6000mm,Top,0
C23,130.7500mm,-80.7500mm,Top,-90
C24,133.0000mm,-77.2500mm,Top,180
C25,148.2500mm,-82.7500mm,Top,180
C26,148.7500mm,-96.2500mm,Top,90
C27,137.2500mm,-100.2500mm,Top,0
D1,180.7500mm,-115.5200mm,Top,90
D2,175.0000mm,-115.5200mm,Top,-90
D3,169.2500mm,-115.5200mm,Top,90
D4,126.7500mm,-115.5200mm,Top,90
D5,121.0000mm,-115.5200mm,Top,-90
D6,115.2500mm,-115.5200mm,Top,90
D7,177.3000mm,-106.8500mm,Top,0
D8,162.7500mm,-115.5200mm,Top,90
D9,157.0000mm,-115.5200mm,Top,-90
D10,151.2500mm,-115.5200mm,Top,90
D11,144.7500mm,-115.5200mm,Top,90
D12,139.0000mm,-115.5200mm,Top,-90
D13,133.2500mm,-115.5200mm,Top,90
D15,167.6400mm,-60.9600mm,Top,180
F1,167.4680mm,-65.5637mm,Top,0
J1,134.0000mm,-59.0000mm,Top,180
J9,119.5000mm,-62.0000mm,Top,-90
L1,179.0000mm,-100.5000mm,Top,-90
Q1,152.2500mm,-109.2500mm,Top,180
R1,176.0000mm,-124.2500mm,Top,180
R2,136.3242mm,-67.4248mm,Top,180
R3,176.0000mm,-122.2500mm,Top,180
R4,128.0000mm,-122.2500mm,Top,180
R5,167.5500mm,-98.1000mm,Top,90
R6,131.0742mm,-67.4248mm,Top,0
R7,165.5500mm,-106.0250mm,Top,-90
R8,164.5500mm,-99.3500mm,Top,0
R9,165.5500mm,-102.5250mm,Top,-90
R10,161.0000mm,-122.2700mm,Top,180
R11,143.0000mm,-122.2700mm,Top,180
R12,119.5000mm,-102.0000mm,Top,180
R13,155.5000mm,-109.2500mm,Top,90
R14,149.0000mm,-110.7500mm,Top,0
R15,150.0000mm,-66.2500mm,Top,180
R16,140.0000mm,-100.5000mm,Top,90
R17,159.0000mm,-63.2500mm,Top,0
R18,145.7500mm,-66.2500mm,Top,0
R19,167.6400mm,-62.9600mm,Top,0
SW1,117.7500mm,-106.5000mm,Top,0
SW2,160.5000mm,-59.2500mm,Top,180
U1,170.2500mm,-122.5000mm,Top,0
U2,122.5000mm,-122.5000mm,Top,0
U3,169.9500mm,-101.8500mm,Top,0
U4,136.0000mm,-73.2500mm,Top,-90
U5,155.5000mm,-122.5200mm,Top,0
U6,137.5000mm,-122.5200mm,Top,0
U7,169.4180mm,-71.6280mm,Top,180
U8,139.0000mm,-90.0000mm,Top,90
Y1,139.5000mm,-104.5000mm,Top,0
